Noun_plural_form_from_corpus,Plural_form_errors_in_count_context_from_corpus,Type,Condition_label,Intervening_noun_base_form,Gender_of_intervening_noun,Number_of_intervening_noun,Gender_of_target_noun,Number_of_target_noun,Beginning,Numeral,Condition_beginning,Target_noun_base_form,Target_noun_plural_form,Target_noun_count_form,Target_noun_other_plural_forms,Group,Final_sentence,Target_noun_after_final_sentence,All_audio_files_original_name,Output_audio_file_partial_filename,Number_of_words_in_condition
критерии,30,target1,APN,събрание,n,sg,m,pl,Следващите стъпки определиха ,четири,съществени за събранието,критерий,критерии,критерия,,B,Следващите стъпки определиха четири съществени за събранието,критерий,STE-029_mono.wav,target1_APN_критерий_четири_B,3
критерии,30,target1,APAdvAN,събрание,n,sg,m,pl,Следващите стъпки определиха ,четири,съществени за много голямото събрание,критерий,критерии,критерия,,C,Следващите стъпки определиха четири съществени за много голямото събрание,критерий,STE-030_mono.wav,target1_APAdvAN_критерий_четири_C,5
тюлени,30,target1,A,заледяване,n,sg,m,pl,На полюса зимата преживяха,пет,оцелели,тюлен,тюлени,тюлена,,C,На полюса зимата преживяха пет оцелели,тюлен,STE-031_mono.wav,target1_A_тюлен_пет_C,1
тюлени,30,target1,APN,заледяване,n,sg,m,pl,На полюса зимата преживяха,пет,оцелели след заледяването,тюлен,тюлени,тюлена,,A,На полюса зимата преживяха пет оцелели след заледяването,тюлен,STE-032_mono.wav,target1_APN_тюлен_пет_A,3
тюлени,30,target1,APAdvAN,заледяване,n,sg,m,pl,На полюса зимата преживяха,пет,оцелели след много рязкото заледяване,тюлен,тюлени,тюлена,,B,На полюса зимата преживяха пет оцелели след много рязкото заледяване,тюлен,STE-033_mono.wav,target1_APAdvAN_тюлен_пет_B,5
дукати,29,target1,A,дама,f,sg,m,pl,Голямата сензация на търга станаха,три,продадени,дукат,дукати,дуката,,B,Голямата сензация на търга станаха три продадени,дукат,STE-034_mono.wav,target1_A_дукат_три_B,1
дукати,29,target1,APN,дама,f,sg,m,pl,Голямата сензация на търга станаха,три,продадени от дамата,дукат,дукати,дуката,,C,Голямата сензация на търга станаха три продадени от дамата,дукат,STE-035_mono.wav,target1_APN_дукат_три_C,3
дукати,29,target1,APAdvAN,дама,f,sg,m,pl,Голямата сензация на търга станаха,три,продадени от много възрастната дама,дукат,дукати,дуката,,A,Голямата сензация на търга станаха три продадени от много възрастната дама,дукат,STE-036_mono.wav,target1_APAdvAN_дукат_три_A,5
образци,28,target1,A,преподавателка,f,sg,m,pl,В класната стая дъската запълваха,четири,нарисувани,образец,образци,образеца,,A,В класната стая дъската запълваха четири нарисувани,образец,STE-037_mono.wav,target1_A_образец_четири_A,1
образци,28,target1,APN,преподавателка,f,sg,m,pl,В класната стая дъската запълваха,четири,нарисувани от преподавателката,образец,образци,образеца,,B,В класната стая дъската запълваха четири нарисувани от преподавателката,образец,STE-038_mono.wav,target1_APN_образец_четири_B,3
образци,28,target1,APAdvAN,преподавателка,f,sg,m,pl,В класната стая дъската запълваха,четири,нарисувани от много младата преподавателка,образец,образци,образеца,,C,В класната стая дъската запълваха четири нарисувани от много младата преподавателка,образец,STE-039_mono.wav,target1_APAdvAN_образец_четири_C,5
жребци,24,target1,A,ранчо,n,sg,m,pl,На свобода тичаха,шест,избягали,жребец,жребци,жребеца,,C,На свобода тичаха шест избягали,жребец,STE-040_mono.wav,target1_A_жребец_шест_C,1
жребци,24,target1,APN,ранчо,n,sg,m,pl,На свобода тичаха,шест,избягали от ранчото,жребец,жребци,жребеца,,A,На свобода тичаха шест избягали от ранчото,жребец,STE-041_mono.wav,target1_APN_жребец_шест_A,3
жребци,24,target1,APAdvAN,ранчо,n,sg,m,pl,На свобода тичаха,шест,избягали от много голямото ранчо,жребец,жребци,жребеца,,B,На свобода тичаха шест избягали от много голямото ранчо,жребец,STE-042_mono.wav,target1_APAdvAN_жребец_шест_B,5
вълци,22,target1,A,момиче,n,sg,m,pl,В гората виеха,седем,страшни,вълк,вълци,вълка,,B,В гората виеха седем страшни,вълк,STE-043_mono.wav,target1_A_вълк_седем_B,1
вълци,22,target1,APN,момиче,n,sg,m,pl,В гората виеха,седем,страшни за момичето,вълк,вълци,вълка,,C,В гората виеха седем страшни за момичето,вълк,STE-044_mono.wav,target1_APN_вълк_седем_C,3
вълци,22,target1,APAdvAN,момиче,n,sg,m,pl,В гората виеха,седем,страшни за много малкото момиче,вълк,вълци,вълка,,A,В гората виеха седем страшни за много малкото момиче,вълк,STE-045_mono.wav,target1_APAdvAN_вълк_седем_A,5
пръсти,20,target1,A,лечение,n,sg,m,pl,Вниманието на лекаря насочваха,два,надути,пръст,пръсти,пръста,,A,Вниманието на лекаря насочваха два надути,пръст,STE-046_mono.wav,target1_A_пръст_два_A,1
пръсти,20,target1,APN,лечение,n,sg,m,pl,Вниманието на лекаря насочваха,два,надути след лечението,пръст,пръсти,пръста,,B,Вниманието на лекаря насочваха два надути след лечението,пръст,STE-047_mono.wav,target1_APN_пръст_два_B,3
пръсти,20,target1,APAdvAN,плашило,n,sg,m,pl,Вниманието на лекаря насочваха,два,надути след много скъпото лечение,пръст,пръсти,пръста,,C,Вниманието на лекаря насочваха два надути след много скъпото лечение,пръст,STE-048_mono.wav,target1_APAdvAN_пръст_два_C,5
соколи,20,target1,A,плашило,n,sg,m,pl,От скривалището излетяха,три,подплашени,сокол,соколи,сокола,,C,От скривалището излетяха три подплашени,сокол,STE-049_mono.wav,target1_A_сокол_три_C,1
соколи,20,target1,APN,плашило,n,sg,m,pl,От скривалището излетяха,три,подплашени от плашилото,сокол,соколи,сокола,,A,От скривалището излетяха три подплашени от плашилото,сокол,STE-050_mono.wav,target1_APN_сокол_три_A,3
соколи,20,target1,APAdvAN,плашило,n,sg,m,pl,От скривалището излетяха,три,подплашени от много голямото плашило,сокол,соколи,сокола,,B,От скривалището излетяха три подплашени от много голямото плашило,сокол,STE-051_mono.wav,target1_APAdvAN_сокол_три_B,5
огньове,19,target1,A,гора,f,sg,m,pl,Онази нощ горяха,пет,пламнали,огън,огньове,огъня,,B,Онази нощ горяха пет пламнали,огън,STE-052_mono.wav,target1_A_огън_пет_B,1
огньове,19,target1,APN,гора,f,sg,m,pl,Онази нощ горяха,пет,пламнали в гората,огън,огньове,огъня,,C,Онази нощ горяха пет пламнали в гората,огън,STE-053_mono.wav,target1_APN_огън_пет_C,3
огньове,19,target1,APAdvAN,гора,f,sg,m,pl,Онази нощ горяха,пет,пламнали в много гъстата гора,огън,огньове,огъня,,A,Онази нощ горяха пет пламнали в много гъстата гора,огън,STE-054_mono.wav,target1_APAdvAN_огън_пет_A,5
прозорци,19,target1,A,дете,n,sg,m,pl,С поправката майстора затрудниха,четири,счупени,прозорец,прозорци,прозореца,,A,С поправката майстора затрудниха четири счупени,прозорец,STE-055_mono.wav,target1_A_прозорец_четири_A,1
прозорци,19,target1,APN,дете,n,sg,m,pl,С поправката майстора затрудниха,четири,счупени от детето,прозорец,прозорци,прозореца,,B,С поправката майстора затрудниха четири счупени от детето,прозорец,STE-056_mono.wav,target1_APN_прозорец_четири_B,3
прозорци,19,target1,APAdvAN,дете,n,sg,m,pl,С поправката майстора затрудниха,четири,счупени от много малкото дете,прозорец,прозорци,прозореца,,C,С поправката майстора затрудниха четири счупени от много малкото дете,прозорец,STE-057_mono.wav,target1_APAdvAN_прозорец_четири_C,5
кораби,18,target1,A,цунами,n,sg,m,pl,На пристанището чакаха,пет,повредени,кораб,кораби,кораба,,C,На пристанището чакаха пет повредени,кораб,STE-058_mono.wav,target1_A_кораб_пет_C,1
кораби,18,target1,APN,цунами,n,sg,m,pl,На пристанището чакаха,пет,повредени от цунамито,кораб,кораби,кораба,,A,На пристанището чакаха пет повредени от цунамито,кораб,STE-059_mono.wav,target1_APN_кораб_пет_A,3
кораби,18,target1,APAdvAN,цунами,n,sg,m,pl,На пристанището чакаха,пет,повредени от много силното цунами,кораб,кораби,кораба,,B,На пристанището чакаха пет повредени от много силното цунами,кораб,STE-060_mono.wav,target1_APAdvAN_кораб_пет_B,5
гласове,17,target1,A,гласуване,n,sg,m,pl, На заседанито се откриха,шест,проблемни,глас,гласове,гласа,,B,На заседанито се откриха шест проблемни,глас,STE-061_mono.wav,target1_A_глас_шест_B,1
гласове,17,target1,APN,гласуване,n,sg,m,pl, На заседанито се откриха,шест,проблемни за заключението,глас,гласове,гласа,,C,На заседанито се откриха шест проблемни за заключението,глас,STE-062_mono.wav,target1_APN_глас_шест_C,3
гласове,17,target1,APAdvAN,гласуване,n,sg,m,pl, На заседанито се откриха,шест,проблемни за много важното заключение,глас,гласове,гласа,,A,На заседанито се откриха шест проблемни за много важното заключение,глас,STE-063_mono.wav,target1_APAdvAN_глас_шест_A,5
езици,17,target1,A, завоевание,n,sg,m,pl,В страната се говореха,седем,разпространени,език,езици,езика,,A,В страната се говореха седем разпространени,език,STE-064_mono.wav,target1_A_език_седем_A,1
езици,17,target1,APN, завоевание,n,sg,m,pl,В страната се говореха,седем,разпространени след завоеванието,език,езици,езика,,B,В страната се говореха седем разпространени след завоеванието,език,STE-065_mono.wav,target1_APN_език_седем_B,3
езици,17,target1,APAdvAN, завоевание,n,sg,m,pl,В страната се говореха,седем,разпространени след много внезапното завоевание,език,езици,езика,,C,В страната се говореха седем разпространени след много внезапното завоевание,език,STE-066_mono.wav,target1_APAdvAN_език_седем_C,5
домове,16,target1,A,хазайка,f,sg,m,pl,От плъхове гъмжаха,шест,ремонтирани,дом,домове,дома,,C,От плъхове гъмжаха шест ремонтирани,дом,STE-067_mono.wav,target1_A_дом_шест_C,1
домове,16,target1,APN,хазайка,f,sg,m,pl,От плъхове гъмжаха,шест,ремонтирани от хазяйката,дом,домове,дома,,A,От плъхове гъмжаха шест ремонтирани от хазяйката,дом,STE-068_mono.wav,target1_APN_дом_шест_A,3
домове,16,target1,APAdvAN,хазайка,f,sg,m,pl,От плъхове гъмжаха,шест,ремонтирани от много строгата хазяйка,дом,домове,дома,,B,От плъхове гъмжаха шест ремонтирани от много строгата хазяйка,дом,STE-069_mono.wav,target1_APAdvAN_дом_шест_B,5
наръчници,16,target1,A,лекарка,f,sg,m,pl,Решение на проблема предлагаха,седем,препоръчани ,наръчник,наръчници,наръчника,,B,Решение на проблема предлагаха седем препоръчани,наръчник,STE-070_mono.wav,target1_A_наръчник_седем_B,1
наръчници,16,target1,APN,лекарка,f,sg,m,pl,Решение на проблема предлагаха,седем,препоръчани от лекарката,наръчник,наръчници,наръчника,,C,Решение на проблема предлагаха седем препоръчани от лекарката,наръчник,STE-071_mono.wav,target1_APN_наръчник_седем_C,3
наръчници,16,target1,APAdvAN,лекарка,f,sg,m,pl,Решение на проблема предлагаха,седем,препоръчани от много известната лекарка,наръчник,наръчници,наръчника,,A,Решение на проблема предлагаха седем препоръчани от много известната лекарка,наръчник,STE-072_mono.wav,target1_APAdvAN_наръчник_седем_A,5
,,filler1,A,дете,n,sg,f,pl,В работилницата бяха поправени,две,счупени,маса,маси,маси,,A,В работилницата бяха поправени две счупени,маса,STE-001_mono.wav,filler1_A_маса_две_A,1
,,filler1,APN,дете,n,sg,f,pl,В работилницата бяха поправени,две,счупени от децата,маса,маси,маси,,B,В работилницата бяха поправени две счупени от децата,маса,STE-002_mono.wav,filler1_APN_маса_две_B,3
,,filler1,APAdvAN,дете,n,sg,f,pl,В работилницата бяха поправени,две,счупени от много лошите деца,маса,маси,маси,,C,В работилницата бяха поправени две счупени от много лошите деца,маса,STE-003_mono.wav,filler1_APAdvAN_маса_две_C,5
,,filler1,A,момче,n,sg,f,pl,В чинията бяха сервирани,три,изпържени,риба,риби,риби,,C,В чинията бяха сервирани три изпържени,риба,STE-004_mono.wav,filler1_A_риба_три_C,1
,,filler1,APN,момче,n,sg,f,pl,В чинията бяха сервирани,три,изпържени от момчетата,риба,риби,риби,,A,В чинията бяха сервирани три изпържени от момчетата,риба,STE-005_mono.wav,filler1_APN_риба_три_A,3
,,filler1,APAdvAN,момче,n,sg,f,pl,В чинията бяха сервирани,три,изпържени от много гладните момчета,риба,риби,риби,,B,В чинията бяха сервирани три изпържени от много гладните момчета,риба,STE-006_mono.wav,filler1_APAdvAN_риба_три_B,5
,,filler1,A,момиче,n,sg,f,pl,На контролното се появиха,четири,решени,задача,задачи,задачи,,B,На контролното се появиха четири решени,задача,STE-007_mono.wav,filler1_A_задача_четири_B,1
,,filler1,APN,момиче,n,sg,f,pl,На контролното се появиха,четири,решени от момичето,задача,задачи,задачи,,C,На контролното се появиха четири решени от момичето,задача,STE-008_mono.wav,filler1_APN_задача_четири_C,3
,,filler1,APAdvAN,момиче,n,sg,f,pl,На контролното се появиха,четири,решени от много ученолюбивото момиче,задача,задачи,задачи,,A,На контролното се появиха четири решени от много ученолюбивото момиче,задача,STE-009_mono.wav,filler1_APAdvAN_задача_четири_A,5
,,filler1,A,юначе,n,sg,f,pl,На коня седяха,пет,спасени,принцеса,принцеси,принцеси,,A,На коня седяха пет спасени,принцеса,STE-010_mono.wav,filler1_A_принцеса_пет_A,1
,,filler1,APN,юначе,n,sg,f,pl,На коня седяха,пет,спасени от юначето,принцеса,принцеси,принцеси,,B,На коня седяха пет спасени от юначето,принцеса,STE-011_mono.wav,filler1_APN_принцеса_пет_B,3
,,filler1,APAdvAN,юначе,n,sg,f,pl,На коня седяха,пет,спасени от много смелото юначе,принцеса,принцеси,принцеси,,C,На коня седяха пет спасени от много смелото юначе,принцеса,STE-012_mono.wav,filler1_APAdvAN_принцеса_пет_C,5
,,filler1,A,камъче,n,sg,f,pl,В шкафа стояха,шест,пълни,купичка,купички,купички,,C,В шкафа стояха шест пълни,купичка,STE-013_mono.wav,filler1_A_купичка_шест_C,1
,,filler1,APN,камъче,n,sg,f,pl,В шкафа стояха,шест,пълни с камъчета,купичка,купички,купички,,A,В шкафа стояха шест пълни с камъчета,купичка,STE-014_mono.wav,filler1_APN_купичка_шест_A,3
,,filler1,APAdvAN,камъче,n,sg,f,pl,В шкафа стояха,шест,пълни с много ценни камъчета,купичка,купички,купички,,B,В шкафа стояха шест пълни с много ценни камъчета,купичка,STE-015_mono.wav,filler1_APAdvAN_купичка_шест_B,5
,,filler1,A,капитанче,n,sg,f,pl,По водата се носеха,седем,инспектирани,лодка,лодки,лодки,,B,По водата се носеха седем инспектирани,лодка,STE-016_mono.wav,filler1_A_лодка_седем_B,1
,,filler1,APN,капитанче,n,sg,f,pl,По водата се носеха,седем,инспектирани от морячето,лодка,лодки,лодки,,C,По водата се носеха седем инспектирани от морячето,лодка,STE-017_mono.wav,filler1_APN_лодка_седем_C,3
,,filler1,APAdvAN,капитанче,n,sg,f,pl,По водата се носеха,седем,инспектирани от много отговорното моряче,лодка,лодки,лодки,,A,По водата се носеха седем инспектирани от много отговорното моряче,лодка,STE-018_mono.wav,filler1_APAdvAN_лодка_седем_A,5
,,filler1,A,вълче,n,sg,f,pl,В гората се изгубиха,две,подгонени,овца,овце,овце,,A,В гората се изгубиха две подгонени,овца,STE-019_mono.wav,filler1_A_овца_две_A,1
,,filler1,APN,вълче,n,sg,f,pl,В гората се изгубиха,две,подгонени от вълчето,овца,овце,овце,,B,В гората се изгубиха две подгонени от вълчето,овца,STE-020_mono.wav,filler1_APN_овца_две_B,3
,,filler1,APAdvAN,вълче,n,sg,f,pl,В гората се изгубиха,две,подгонени от много малкото вълче,овца,овце,овце,,C,В гората се изгубиха две подгонени от много малкото вълче,овца,STE-021_mono.wav,filler1_APAdvAN_овца_две_C,5
,,filler1,A,конче,n,sg,f,pl,На земята лежаха,три,съборени,ездачка,ездачки,ездачки,,C,На земята лежаха три съборени,ездачка,STE-022_mono.wav,filler1_A_ездачка_три_C,1
,,filler1,APN,конче,n,sg,f,pl,На земята лежаха,три,съборени от кончето,ездачка,ездачки,ездачки,,A,На земята лежаха три съборени от кончето,ездачка,STE-023_mono.wav,filler1_APN_ездачка_три_A,3
,,filler1,APAdvAN,конче,n,sg,f,pl,На земята лежаха,три,съборени от много буйното конче,ездачка,ездачки,ездачки,,B,На земята лежаха три съборени от много буйното конче,ездачка,STE-024_mono.wav,filler1_APAdvAN_ездачка_три_B,5
,,filler1,A,ключе,n,sg,f,pl,При проверката се намериха,четири,отворени,врата,врати,врати,,B,При проверката се намериха четири отворени,врата,STE-025_mono.wav,filler1_A_врата_четири_B,1
,,filler1,APN,ключе,n,sg,f,pl,При проверката се намериха,четири,отворени с ключето,врата,врати,врати,,C,При проверката се намериха четири отворени с ключето,врата,STE-026_mono.wav,filler1_APN_врата_четири_C,3
,,filler1,APAdvAN,ключе,n,sg,f,pl,При проверката се намериха,четири,отворени с много малкото ключе,врата,врати,врати,,A,При проверката се намериха четири отворени с много малкото ключе,врата,STE-027_mono.wav,filler1_APAdvAN_врата_четири_A,5
,,filler1,A,клонче,n,sg,f,pl,През прозореца се забелязваха,пет,сгушени,птица,птици,птици,,A,През прозореца се забелязваха пет сгушени,птица,STE-028_mono.wav,filler1_A_птица_пет_A,1
,,filler1,APN,клонче,n,sg,f,pl,През прозореца се забелязваха,пет,сгушени на клончето,птица,птици,птици,,B,През прозореца се забелязваха пет сгушени на клончето,птица,STE-029_mono.wav,filler1_APN_птица_пет_B,3
,,filler1,APAdvAN,клонче,n,sg,f,pl,През прозореца се забелязваха,пет,сгушени на много малкото клонче,птица,птици,птици,,C,През прозореца се забелязваха пет сгушени на много малкото клонче,птица,STE-030_mono.wav,filler1_APAdvAN_птица_пет_C,5
,,filler1,A,мече,n,sg,f,pl,Вчера бяха идентифицирани,шест,жилещи,пчела,пчели,пчели,,C,Вчера бяха идентифицирани шест жилещи,пчела,STE-031_mono.wav,filler1_A_пчела_шест_C,1
,,filler1,APN,мече,n,sg,f,pl,Вчера бяха идентифицирани,шест,жилещи мечето,пчела,пчели,пчели,,A,Вчера бяха идентифицирани шест жилещи мечето,пчела,STE-032_mono.wav,filler1_APN_пчела_шест_A,2
,,filler1,APAdvAN,мече,n,sg,f,pl,Вчера бяха идентифицирани,шест,жилещи много малкото мече,пчела,пчели,пчели,,B,Вчера бяха идентифицирани шест жилещи много малкото мече,пчела,STE-033_mono.wav,filler1_APAdvAN_пчела_шест_B,4
,,filler1,A,време,n,sg,f,pl,На заседанието бяха разгледани,седем,актуални,програма,програми,програми,,B,На заседанието бяха разгледани седем актуални,програма,STE-034_mono.wav,filler1_A_програма_седем_B,1
,,filler1,APN,време,n,sg,f,pl,На заседанието бяха разгледани,седем,актуални във времето,програма,програми,програми,,C,На заседанието бяха разгледани седем актуални във времето,програма,STE-035_mono.wav,filler1_APN_програма_седем_C,3
,,filler1,APAdvAN,време,n,sg,f,pl,На заседанието бяха разгледани,седем,актуални в много трудното време,програма,програми,програми,,A,На заседанието бяха разгледани седем актуални в много трудното време,програма,STE-036_mono.wav,filler1_APAdvAN_програма_седем_A,5
,,filler1,A,книга,m,sg,f,pl,Миналата година излязоха,две,преведени,книга,книги,книги,,A,Миналата година излязоха две преведени,книга,STE-037_mono.wav,filler1_A_книга_две_A,1
,,filler1,APN,книга,m,sg,f,pl,Миналата година излязоха,две,преведени от ученика,книга,книги,книги,,B,Миналата година излязоха две преведени от ученика,книга,STE-038_mono.wav,filler1_APN_книга_две_B,3
,,filler1,APAdvAN,книга,m,sg,f,pl,Миналата година излязоха,две,преведени от много ученолюбивия ученик,книга,книги,книги,,C,Миналата година излязоха две преведени от много ученолюбивия ученик,книга,STE-039_mono.wav,filler1_APAdvAN_книга_две_C,5
,,filler1,A,майстор,m,sg,f,pl,По пътя се движеха,три,поправени,кола,коли,коли,,C,По пътя се движеха три поправени,кола,STE-040_mono.wav,filler1_A_кола_три_C,1
,,filler1,APN,майстор,m,sg,f,pl,По пътя се движеха,три,поправени от майстора,кола,коли,коли,,A,По пътя се движеха три поправени от майстора,кола,STE-041_mono.wav,filler1_APN_кола_три_A,3
,,filler1,APAdvAN,майстор,m,sg,f,pl,По пътя се движеха,три,поправени от много сръчния майстор,кола,коли,коли,,B,По пътя се движеха три поправени от много сръчния майстор,кола,STE-042_mono.wav,filler1_APAdvAN_кола_три_B,5
,,filler1,A,бракониер,m,sg,f,pl,През нощта горяха,четири,подпалени,гора,гори,гори,,B,През нощта горяха четири подпалени,гора,STE-043_mono.wav,filler1_A_гора_четири_B,1
,,filler1,APN,бракониер,m,sg,f,pl,През нощта горяха,четири,подпалени от бракониера,гора,гори,гори,,C,През нощта горяха четири подпалени от бракониера,гора,STE-044_mono.wav,filler1_APN_гора_четири_C,3
,,filler1,APAdvAN,бракониер,m,sg,f,pl,През нощта горяха,четири,подпалени от много опасния бракониер,гора,гори,гори,,A,През нощта горяха четири подпалени от много опасния бракониер,гора,STE-045_mono.wav,filler1_APAdvAN_гора_четири_A,5
